stuId	tag	university	major	majorCategory
Y3LpdQ5GWk		東海大学	情報通信学部	理系
FyqwuypbI5		駒澤大学	グローバル・メディア・スタディーズ学部	文系
JQr5EcELcn		明治大学	文学部文学科	文系
Yb78ch7m8w		國學院大學	文学部日本文学科	文系
xX3GGUw7p5		獨協大学	外国語学部交流文化学科	文系
IWAWu67VgK		東洋大学	社会学部メディアコミュニケーション学科	文系
i4kFa3UWEZ		明治学院大学	法学部法律学科	文系
DMTogrJ3XC		東洋大学	社会学部社会学科	文系
6kHTFmj7ep		大東文化大学	経営学部企業システム学科	文系
8H4rPZcCG0		神奈川大学	外国語学部中国語学科	文系
Co7dEqUKjm		上智大学	文学部新聞学科	文系
9ZqkFrjDjD		杏林大学	総合政策学部企業経営学科	文系
XUyoMB9ByK		帝京大学	外国語学部外国語学科	文系
H2tUVz6v5N		学習院女子大学	国際文化交流学部国際コミュニケーション	文系
fEjL5EcXRQ		共立女子短期大学	文科	文系
xQSsQk3uCY		慶應義塾大学	理工学部管理工学科	理系
BWHWEyiUl5		関東学院大学	経済学部 経済学科	文系
5hzV2HQ9QF	人材・教育,コンサルティング	大妻女子大学	文学部コミュニケーション文化学科	文系
Bj3kCAr3mD		日本大学	商学部商業学科	文系
I3M4tSThez	人材・教育,不動産,コンサルティング	玉川大学	経営学部国際経営学科	文系
TOV3iIsA25	化学・石油	神奈川大学	工学部物質生命化学科	理系
x5N1My9lrH		テスト	テスト	その他
lYcWBYocRI		専修大学	経済学部国際経済学科	文系
SlxeF5sYQs	サービス,鉄道・航空,旅行,インフラ,広告,コンサルティング,アパレル,ホテル・レジャー,マスコミ	武蔵野大学	グローバル•コミュニケーション学部	文系
qvsB33v6gr		立教大学	現代心理学部映像身体学科	その他
zo1oG7Dhrc		明治学院大学	文学部芸術学科	文系
ZTGOyG4ppe		獨協大学	外国語学部英語学科	文系
7rKjQGTtrj		慶應義塾大学	総合政策学部総合政策学科	文系
SDRMeFkTAB		同志社大学	文学部文化史学科	文系
BMlteXfyRu	官公庁,インフラ	東京大学	工学部社会基盤学科	理系
LtLbtW6Z1o		名城大学	経営学部国際経営学科	文系
GSSAlW10HF		亜細亜大学	国際関係学部国際関係学科	文系
7t6Adq0yZw		山形大学	農学部	理系
2kBr2GmkAK		龍谷大学	国際文化学部国際文化学科q	文系
gkk7s5V6cd		法政大学	経済学部 経済学科	文系
zeYL2RXhi6	商社,IT,出版・印刷,広告	関東学院大学	経済学部経営学科	文系
46DmNdEQfP	人材・教育,IT,広告	法政大学大学院	国際文化研究科	文系
3bh5svisMt		産業能率大学	経営学部マーケティング学科	文系
tUhRPZXlQY		東京農業大学	農学部農学科	理系
uBi1TS2GcS		専修大学	文学部英米文学科	文系
yBrNR4kCa2		明星大学	経営学部経営学科	文系
KbrhS5EAVE		駒澤大学	経済学部商学科	文系
8p6nfeji9P		東京海洋大学	海洋工学部海事システム工学科	理系
s6u2mfQQZJ		女子美術大学大学院	美術研究科	文系
21fJfLCpsv	IT,サービス,人材・教育,商社,コンサルティング,広告,マスコミ,出版・印刷,アパレル,化粧品・医薬,ホテル・レジャー,電機・自動車,旅行,食品・飲料	杏林大学	総合政策学部総合政策学科	文系
tUC1iM1rM9		東京工業大学大学院	環境・社会理工学院 融合理工学系	理系
cidUluozjF		慶應義塾大学	経済学部	文系
xZYNHTbIfj		日本大学	文理学部	理系
Um7LQFdBHg		横浜国立大学	教育人間科学部人間文化課程	文系
ys80eJ1Nk7		専修大学	文学部英米文学科	文系
ial0lG2Hwx		青山学院大学	地球社会共生学部地球社会共生学科	文系
4hq0IX3CQj		跡見学園女子大学	マネジメント学部マネジメント学科	文系
HdL5rbVdeC		大妻女子大学	家政学部ライフデザイン学科	文系
uVrVgP7Gay		中央大学	法学部法律学科	文系
BCOu75saXT		國學院大學	文学部史学科	文系
jO1DiPPtZF		早稲田大学	文学部美術史コース	文系
IE9B815auJ		北九州市立大学大学院	国際環境工学研究科環境システム専攻	理系
rMBqUBF2pb	化粧品・医薬,人材・教育,広告,コンサルティング,不動産	昭和女子大学	人間文化学部英語コミュニケーション学科	文系
H9oCHgkisa		立正大学	経営学部経営学科	文系
